"id","date","movementdate","interaction","type","duration"
"56204",2017-07-07,2017-06-17,"Stray","return",0
"56205",2017-07-07,2017-06-17,"Stray","return",0
"56205",2017-07-11,2017-07-07,"Incompatible with owner lifestyle","return",0
"56208",2017-07-12,2017-06-19,"Stray","return",0
"56209",2017-07-12,2017-06-19,"Stray","return",0
"56210",2017-07-12,2017-06-19,"Stray","return",0
"56211",2017-06-25,2017-06-19,"Stray","return",0
"56212",2017-07-12,2017-06-19,"Stray","return",0
"56214",2017-09-08,2017-06-27,"Moving","return",0
"56224",2017-07-13,2017-06-23,"Stray","return",0
"56225",2017-07-13,2017-06-23,"Stray","return",0
"56235",2017-07-28,2017-07-05,"Stray","return",0
"56236",2017-09-01,2017-07-31,"Stray","return",0
"56237",2017-07-28,2017-07-05,"Stray","return",0
"56237",2019-09-14,2017-07-29,"Incompatible with owner lifestyle","return",0
"56239",2017-08-04,2017-06-29,"Stray","return",0
"56247",2017-07-13,2017-06-23,"Stray","return",0
"56247",2017-06-23,2017-06-23,"Stray","return",0
"56252",2017-07-06,2017-06-26,"Stray","return",0
"56253",2017-07-06,2017-06-26,"Stray","return",0
"56254",2017-07-06,2017-06-26,"Stray","return",0
"56255",2017-07-06,2017-06-26,"Stray","return",0
"56257",2017-08-08,2017-06-23,"Stray","return",0
"56258",2017-08-02,2017-06-23,"Stray","return",0
"56259",2017-08-08,2017-06-23,"Stray","return",0
"56260",2017-08-04,2017-06-23,"Stray","return",0
"56260",2017-10-07,2017-09-06,"Stray","return",0
"56261",2017-08-02,2017-06-23,"Stray","return",0
"56261",2018-06-14,2017-08-04,"Moving","return",0
"56262",2017-08-08,2017-06-23,"Stray","return",0
"56263",2017-08-02,2017-06-23,"Stray","return",0
"56263",2017-10-07,2017-09-06,"Stray","return",0
"56264",2017-08-02,2017-06-23,"Stray","return",0
"56265",2017-08-08,2017-06-23,"Stray","return",0
"56272",2017-08-15,2017-06-26,"Rabies Monitoring","return",0
"56272",2017-08-29,2017-08-29,"Owner requested Euthanasia","return",0
"56276",2017-08-19,2017-07-01,"Stray","return",0
"56285",2018-08-26,2017-07-29,"Incompatible with owner lifestyle","return",0
