"id","sheltercode","identichipnumber","animalname","animalage","sexname","speciesname","breedname","basecolour","intakeage","interactions","timeinsys","transferin","transferout","adopt","adopt_ct","foster","foster_ct","reclaim","reclaim_ct","return","return_ct","dead","intakedate"
"58948","C1803257","981020025508420","Sunshine","1 year 3 months.","Female","Cat","Domestic Short Hair","Calico",15,2,4,0,0,1,1,0,0,0,0,0,0,0,2018-03-13
"58951","C1803259","981020025778009","Mr. Beans","1 year 2 months.","Male","Cat","Domestic Short Hair","Grey",14,2,4,0,0,1,1,0,0,0,0,0,0,0,2018-03-14
"58952","C1803260","981020025476624","Sushi","1 year 2 months.","Female","Cat","Domestic Short Hair","Grey",14,2,5,0,0,1,1,0,0,0,0,0,0,0,2018-03-14
"58953","D1803261","981020025680313","Loekie","2 years 3 months.","Female","Dog","Shar-Pei/Labrador Retriever","Red",27,2,7,0,0,1,1,0,0,0,0,0,0,0,2018-03-14
"58959","D1803233","981020025484418","Harvey","11 years 11 months.","Male","Dog","American Bulldog","White and Brindle",143,2,1,0,0,0,0,0,0,1,1,0,0,0,2018-03-14
"58960","D1803262","49322F0922","JoJo","13 years 6 months.","Male","Dog","Bichon Frise","White",162,2,14,0,0,1,1,0,0,0,0,0,0,0,2018-03-15
"58961","C1803239","981020025494651","Sal","1 year 4 months.","Male","Cat","Domestic Short Hair","Black",16,2,20,0,0,1,1,0,0,0,0,0,0,0,2018-03-15
"58962","C1803240","981020025777856","Babe","3 years 7 months.","Female","Cat","Domestic Short Hair","Black",43,2,14,0,0,1,1,0,0,0,0,0,0,0,2018-03-15
"58963","C1803263","","Rocky","2 years 9 months.","Male","Cat","Domestic Short Hair","Black and Brown",33,2,13,0,1,0,0,0,0,0,0,0,0,0,2018-03-15
"58964","D1803255","0A11564C7B","Sadie","9 years 8 months.","Female","Dog","Golden Retriever/Labrador Retriever","Golden",116,2,0,0,0,0,0,0,0,1,1,0,0,0,2018-03-15
"58967","D1803259","981020025471080","Murphy","1 year 8 months.","Female","Dog","Bluetick Coonhound","Tricolour",20,2,9,0,0,1,1,0,0,0,0,0,0,0,2018-03-15
"58971","C1803261","981020025509031","Trixie","4 years 4 months.","Female","Cat","Domestic Short Hair","Silver",52,2,13,0,0,1,1,0,0,0,0,0,0,0,2018-03-16
"58972","C1803264","981020025748403","Hemi","5 years 8 months.","Male","Cat","Domestic Short Hair","Black and Brown",68,2,37,0,0,1,1,0,0,0,0,0,0,0,2018-03-16
"58973","C1803262","981020025708271","Ariel","1 year 8 months.","Female","Cat","Domestic Short Hair","Tabbico",20,2,15,0,0,1,1,0,0,0,0,0,0,0,2018-03-16
"58976","C1803266","981020025510692","Erik","2 years 8 months.","Male","Cat","Domestic Short Hair","Grey",32,2,18,0,0,1,1,0,0,0,0,0,0,0,2018-03-16
"58977","D1803267","981020025778142","Rosie","3 years 10 months.","Female","Dog","German Shepherd Dog","Black and Brown",46,2,1,0,0,0,0,0,0,1,1,0,0,0,2018-03-16
"58978","D1803268","981020025499723","Marlin","12 years 10 months.","Male","Dog","Jack Russell Terrier","White and Black",154,4,705,0,0,1,1,1,1,0,0,1,1,0,2018-03-17
"58979","C1803267","0A11291B4C","Precious Molly","9 years 11 months.","Female","Cat","Domestic Short Hair","Black and Brown",119,2,34,0,0,1,1,0,0,0,0,0,0,0,2018-03-17
"58980","D1803269","981020025474157","Bernie","11 months.","Male","Dog","Hound/Mix","Black and Tan",11,2,10,0,0,1,1,0,0,0,0,0,0,0,2018-03-17
